implementation,fixture,lane,sequence,account,hash,start_monotonic_ns,completion_monotonic_ns,latency_ns,error
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,0,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,23C84354C9A0940AFD856425C8E77D3E4C7A45FAFEC7E551ADD7B3559A6EDFA0,1247142657357254,1247142905443884,248086630,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,1,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,CEDE52A7F6351575042F5382CCCA71DAF8B912987AFDA6A0D992A7C1E8DECBF8,1247142905762610,1247143104291039,198528429,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,2,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,BFB5AA41729D3A27DCC00C962C526CEC50BF00229DC68B8537CE4336FA26E651,1247143104298964,1247143305467111,201168147,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,3,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,CF50218931CA3CAC27B2FD50224F72F6F36EC948DA29442B91FE1FACDEED2973,1247143305475537,1247143506667619,201192082,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,4,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,7B6421B7ED2CB10F84CF551894780A7F8240BD1405ED6942784AE1FC7DDDBCF2,1247143506675815,1247143708413087,201737272,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,5,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,BE25BDA8A93B4D9DE1A67B3553E856BBBB31BAF735616FE024C1F7A90EEA424B,1247143708421743,1247143908301259,199879516,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,6,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,613FD71D2B77864B8788CF7BEFCD6F8E946381B64AAD196CBE2C7D80F626DF68,1247143908311098,1247144101578003,193266905,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,7,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,F780BD8E76D9141168A6C2E78FAE4D8EEA6C32D3AC3D53A70D2946060017DA7E,1247144101586489,1247144301643828,200057339,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,8,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,1AC40E27A8044AD1095224DF69F41A7981C819E6E329F05F0336601E5EBE5618,1247144301653426,1247144502292443,200639017,
rsnano,nano-serial,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,9,nano_3e3j5tkog48pnny9dmfzj1r16pg8t1e76dz5tmac6iq689wyjfpiij4txtdo,50CB9CFA5F17030F7FFFD4A5EAC188A0DED5DC9DE13DE53D26BAB2F73BFAB830,1247144502306870,1247144701584861,199277991,
